genre_1,genre_2,release_year,count
Comedy,Foreign,1994,3
Foreign,Mystery,1994,1
Foreign,Romance,1994,6
Foreign,Thriller,1994,9
Comedy,Romance,1993,34
Mystery,Thriller,1993,17
Adventure,Family,1993,12
Action,Mystery,1993,4
Adventure,Crime,1993,5
Adventure,Mystery,1993,1
Crime,Mystery,1993,5
Action,History,1993,6
Action,Western,1993,4
Drama,Western,1993,5
History,Western,1993,2
Crime,Family,1994,1
Action,War,1993,6
Drama,War,1993,8
History,War,1993,6
Comedy,War,1993,2
Adventure,Science_Fiction,1993,7
Action,Family,1993,11
Action,Fantasy,1993,10
Adventure,Comedy,1993,11
Adventure,Fantasy,1993,5
Comedy,Mystery,1993,3
Drama,Romance,1976,15
Drama,Family,1993,10
Comedy,Science_Fiction,1994,6
Family,Science_Fiction,1994,3
Drama,Fantasy,1992,8
Fantasy,Romance,1992,5
Music,Mystery,1994,1
Comedy,War,1994,1
Action,Drama,1992,25
Action,Thriller,1992,34
Drama,Fantasy,1993,10
Comedy,Horror,1994,7
Crime,Horror,1994,2
Adventure,Fantasy,1994,12
Drama,Science_Fiction,1982,8
Drama,Thriller,1982,18
Science_Fiction,Thriller,1982,8
Comedy,Crime,1993,8
Crime,Romance,1993,4
Drama,History,1985,8
Drama,Romance,1985,36
History,Romance,1985,1
Animation,Family,1993,9
Animation,Fantasy,1993,2
Adventure,Drama,1993,11
Adventure,History,1993,3
Adventure,Western,1993,2
Action,Romance,1993,6
Romance,Thriller,1993,10
Documentary,History,1993,2
Animation,Fantasy,1994,6
Animation,Science_Fiction,1994,5
Drama,Horror,1993,7
Comedy,TV_Movie,1993,2
Drama,TV_Movie,1993,7
Romance,TV_Movie,1993,2
Comedy,Foreign,1992,3
History,Mystery,1994,1
Documentary,History,1996,2
Comedy,Foreign,1993,7
Drama,Foreign,1993,9
Foreign,Romance,1993,6
Comedy,Family,1990,14
Drama,Fantasy,1990,8
Drama,Mystery,1990,10
Drama,Romance,1990,42
Drama,Thriller,1990,32
Fantasy,Mystery,1990,1
Fantasy,Romance,1990,6
Fantasy,Thriller,1990,2
Mystery,Romance,1990,2
Mystery,Thriller,1990,14
Romance,Thriller,1990,9
Adventure,Animation,1992,6
Adventure,Comedy,1992,15
Adventure,Family,1992,13
Adventure,Fantasy,1992,11
Adventure,Romance,1992,6
Animation,Comedy,1992,9
Animation,Family,1992,7
Animation,Fantasy,1992,8
Animation,Romance,1992,2
Comedy,Family,1992,18
Comedy,Fantasy,1992,12
Family,Fantasy,1992,6
Family,Romance,1992,1
Action,Science_Fiction,1991,22
Action,Thriller,1991,37
Science_Fiction,Thriller,1991,8
Adventure,Drama,1990,15
Adventure,Western,1990,3
Drama,Western,1990,2
Action,Fantasy,1989,7
Crime,Drama,1991,24
Crime,Thriller,1991,23
Drama,Thriller,1991,34
Animation,Family,1937,2
Animation,Fantasy,1937,2
Family,Fantasy,1937,4
Animation,Family,1991,7
Animation,Fantasy,1991,2
Animation,Music,1991,2
Animation,Romance,1991,2
Family,Fantasy,1991,8
Family,Music,1991,2
Family,Romance,1991,7
Fantasy,Music,1991,2
Fantasy,Romance,1991,7
Music,Romance,1991,3
Animation,Family,1940,2
Comedy,Romance,1990,32
Adventure,Western,1969,5
Animation,Science_Fiction,1981,4
Horror,Science_Fiction,1996,9
Comedy,Foreign,1974,3
Adventure,Animation,1970,3
Adventure,Comedy,1970,5
Adventure,Family,1970,4
Animation,Comedy,1970,2
Animation,Family,1970,4
Comedy,Family,1970,3
Adventure,Documentary,1991,1
Adventure,Drama,1991,10
Documentary,Drama,1991,1
Comedy,Drama,1990,42
Comedy,Thriller,1996,16
Crime,Romance,1996,5
Crime,Mystery,1996,6
Adventure,Animation,1996,7
Adventure,Fantasy,1996,5
Animation,Family,1996,11
Animation,Fantasy,1996,5
Animation,Romance,1996,1
Family,Fantasy,1996,13
Family,Romance,1996,4
Fantasy,Romance,1996,6
Horror,Mystery,1996,4
Drama,War,1996,13
Mystery,War,1996,1
Thriller,War,1996,1
Crime,Drama,1960,16
Crime,Thriller,1960,15
Drama,Thriller,1960,14
Comedy,War,1995,1
Comedy,Science_Fiction,1996,14
Animation,Comedy,1996,8
Animation,Drama,1996,5
Comedy,Fantasy,1996,15
Drama,Fantasy,1996,11
Comedy,Horror,1996,7
Drama,Mystery,1965,9
Drama,Science_Fiction,1965,5
Mystery,Science_Fiction,1965,2
Documentary,Foreign,1994,2
Drama,Horror,1980,11
Drama,Thriller,1980,21
Horror,Thriller,1980,26
Adventure,Science_Fiction,1996,8
Drama,History,1992,10
Mystery,Romance,1996,4
Animation,Comedy,1988,6
Animation,Family,1988,8
Comedy,Family,1988,13
Drama,Western,1995,4
Fantasy,Western,1995,1
Adventure,War,1995,2
Action,Crime,1975,23
Action,Drama,1975,31
Crime,Drama,1975,27
Comedy,Foreign,1995,4
Fantasy,Science_Fiction,1993,14
Fantasy,Science_Fiction,1996,11
Drama,Foreign,2002,50
Fantasy,Horror,1996,4
Fantasy,Thriller,1996,2
Action,Animation,1995,9
Action,Crime,1948,5
Action,Drama,1948,13
Crime,Drama,1948,22
Action,Mystery,1996,4
Drama,War,1943,24
Comedy,Drama,1964,15
Comedy,War,1964,1
Drama,War,1964,14
Comedy,Horror,1992,11
Drama,Horror,1992,8
Fantasy,Horror,1992,3
Adventure,Family,1950,2
Music,Romance,1987,5
Drama,Romance,1973,17
Drama,Horror,1968,6
Drama,Mystery,1968,10
Horror,Mystery,1968,4
War,Western,1995,1
Comedy,Romance,1997,63
Romance,Science_Fiction,1996,4
Drama,Foreign,1990,6
Family,Science_Fiction,1996,4
Adventure,Drama,1956,14
Drama,War,1992,6
Comedy,Drama,1967,25
Comedy,Romance,1967,21
Comedy,Foreign,1996,10
Fantasy,Music,1996,2
Action,Fantasy,1996,3
Drama,Horror,1960,3
Horror,Thriller,1960,5
Drama,History,1996,13
Drama,Music,1991,9
Crime,Drama,1972,25
Action,Crime,1992,18
Crime,Thriller,1992,30
Crime,Music,1996,1
Drama,Music,1996,7
Music,Thriller,1996,1
Comedy,Family,1997,28
Horror,Mystery,1997,9
Horror,Thriller,1997,18
Mystery,Thriller,1997,22
Drama,Romance,1998,100
Drama,War,1998,16
Romance,War,1998,2
Drama,Romance,1933,26
Drama,Romance,2010,148
Drama,History,1943,5
Drama,Romance,1943,18
Drama,Thriller,1943,13
History,Romance,1943,2
History,Thriller,1943,2
Romance,Thriller,1943,4
Comedy,Romance,1940,22
Comedy,Music,1952,7
Comedy,Romance,1952,19
Music,Romance,1952,5
Comedy,Drama,1951,10
