Index,Genre,Degree
1,Drama,19
2,Action,19
3,Crime,19
4,Thriller,19
5,Documentary,19
6,Family,19
7,Comedy,19
8,Horror,19
9,Romance,19
10,Mystery,19
11,Adventure,19
12,Animation,19
13,Music,19
14,War,19
15,Foreign,18
16,Science_Fiction,18
17,History,18
18,Western,18
19,Fantasy,18
20,TV_Movie,18
