Index,Genre,Degree
1,Drama,17
2,Comedy,16
3,Romance,12
4,Adventure,12
5,Action,11
6,Fantasy,10
7,Thriller,9
8,Horror,8
9,Crime,8
10,Science_Fiction,7
11,History,6
12,Mystery,6
13,Family,6
14,Animation,6
15,War,5
16,Western,5
17,Documentary,5
18,Music,3
