Index,Genre,Degree
1,Drama,17
2,Comedy,17
3,Action,16
4,War,15
5,Romance,15
6,Horror,15
7,Adventure,14
8,Thriller,13
9,Fantasy,13
10,Crime,12
11,Mystery,12
12,Music,12
13,Western,12
14,Science_Fiction,12
15,Family,11
16,History,10
17,Animation,7
18,Documentary,5
