Index,Genre,Degree
1,Fantasy,5
2,Drama,5
3,Action,4
4,Horror,4
5,Comedy,3
6,Family,3
7,Science_Fiction,3
8,History,3
9,War,3
10,Romance,1
11,Animation,1
12,Documentary,1
