Index,Genre,Degree
1,Drama,19
2,Romance,19
3,Comedy,19
4,Horror,19
5,Action,19
6,Adventure,19
7,Science_Fiction,19
8,Thriller,19
9,Fantasy,19
10,Crime,19
11,Mystery,19
12,Family,19
13,Animation,19
14,Documentary,19
15,History,19
16,War,18
17,Music,18
18,TV_Movie,18
19,Foreign,17
20,Western,16
