Index,Genre,Degree
1,Drama,18
2,Adventure,16
3,Comedy,16
4,Romance,16
5,Action,16
6,Thriller,14
7,Western,14
8,Science_Fiction,14
9,Fantasy,13
10,War,13
11,Mystery,12
12,Crime,12
13,History,12
14,Horror,12
15,Family,11
16,Music,11
17,Animation,8
18,Documentary,8
19,Foreign,2
