Index,Genre,Degree
1,Drama,19
2,Action,19
3,Adventure,19
4,Comedy,19
5,Foreign,19
6,Mystery,19
7,Crime,18
8,Science_Fiction,18
9,Family,18
10,Horror,18
11,Thriller,18
12,TV_Movie,18
13,Romance,17
14,Music,17
15,Fantasy,16
16,History,16
17,War,16
18,Western,16
19,Animation,15
20,Documentary,15
