Index,Genre,Degree
1,Drama,12
2,Comedy,11
3,Fantasy,9
4,Romance,6
5,War,6
6,Action,6
7,Adventure,5
8,Science_Fiction,5
9,Crime,5
10,Mystery,5
11,Horror,4
12,Animation,4
13,Western,3
14,History,2
15,Family,1
