Index,Genre,Degree
1,Fantasy,10
2,Comedy,9
3,Action,7
4,Adventure,6
5,Drama,6
6,Crime,5
7,Science_Fiction,4
8,Thriller,3
9,History,3
10,Horror,3
11,Western,2
12,Animation,2
13,Music,2
14,Family,2
15,Documentary,1
16,Romance,1
