Index,Genre,Degree
1,Drama,16
2,Comedy,16
3,Adventure,16
4,Romance,15
5,Action,15
6,Thriller,14
7,Family,13
8,Fantasy,13
9,Music,13
10,Horror,13
11,War,12
12,Crime,12
13,Science_Fiction,12
14,History,12
15,Mystery,11
16,Western,10
17,Animation,8
18,Documentary,3
